# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.99336000e+01  4.60219659e+00  1.05209757e+02  1.41997074e+01  5.19298008e+01  1.42658708e+01  1.98803071e+01  8.29967725e+00  8.80256747e+00  4.48047705e+00  4.44649546e+00  2.04598650e+00  2.26089879e+00  1.19979771e+00  8.46328261e-01  7.84076077e-01  1.82960876e-01  4.09131459e-01  5.25403714e-02
 4.78156300e+00  5.47756299e+01  3.22204765e+00  9.67718526e+01  1.21640428e+01  4.74874807e+01  1.25228641e+01  1.77818083e+01  7.30190986e+00  7.63454036e+00  3.81527284e+00  3.75337585e+00  1.72678169e+00  1.83882280e+00  9.40313273e-01  6.55679725e-01  5.94158999e-01  5.25088764e-02  3.68196360e-01 -1.14812292e-01
 4.83366700e+00  4.99750127e+01  2.00457359e+00  8.88544990e+01  1.03079916e+01  4.32980291e+01  1.09450522e+01  1.58680798e+01  6.35254693e+00  6.59997297e+00  3.21692223e+00  3.15529193e+00  1.44331052e+00  1.48599858e+00  7.35431512e-01  5.03101063e-01  4.59989235e-01 -4.18492552e-02  3.46245042e-01 -2.11281826e-01
 4.88577200e+00  4.55429417e+01  9.56291783e-01  8.14883868e+01  8.64928398e+00  3.93991016e+01  9.54392483e+00  1.41422068e+01  5.47495756e+00  5.70078523e+00  2.69490780e+00  2.64628454e+00  1.19341735e+00  1.19762828e+00  5.77702417e-01  3.86849927e-01  3.69980980e-01 -1.01273723e-01  3.38203765e-01 -2.50706375e-01
 4.93787600e+00  4.14711913e+01  7.25876505e-02  7.46762953e+01  7.19252600e+00  3.58099988e+01  8.31759649e+00  1.25992086e+01  4.68678725e+00  4.92929256e+00  2.25036259e+00  2.21701764e+00  9.75902415e-01  9.65899905e-01  4.58035994e-01  3.00787747e-01  3.11639247e-01 -1.31320417e-01  3.39163091e-01 -2.50043039e-01
 4.98998000e+00  3.77385467e+01 -6.59050821e-01  6.83988239e+01  5.93066965e+00  3.25321587e+01  7.25402093e+00  1.12277037e+01  3.99723485e+00  4.27158284e+00  1.87826965e+00  1.85669645e+00  7.89863367e-01  7.81450788e-01  3.67261671e-01  2.37289303e-01  2.73495192e-01 -1.39670300e-01  3.44540835e-01 -2.25735418e-01
 5.04208400e+00  3.43180421e+01 -1.25525840e+00  6.26232755e+01  4.84839915e+00  2.95533865e+01  6.33535273e+00  1.00124479e+01  3.40699255e+00  3.71125401e+00  1.57022348e+00  1.55465912e+00  6.34074055e-01  6.34845199e-01  2.97380431e-01  1.89407527e-01  2.46363963e-01 -1.34003884e-01  3.50331610e-01 -1.91209331e-01
 5.09418800e+00  3.11820261e+01 -1.73384440e+00  5.73110710e+01  3.92573929e+00  2.68528077e+01  5.54172796e+00  8.93658270e+00  2.90991317e+00  3.23221705e+00  1.31668081e+00  1.30133328e+00  5.06621431e-01  5.17644114e-01  2.42213766e-01  1.51924239e-01  2.23818971e-01 -1.20646570e-01  3.53370409e-01 -1.55814008e-01
 5.14629300e+00  2.83050455e+01 -2.11191485e+00  5.24231488e+01  3.14121194e+00  2.44054530e+01  4.85396921e+00  7.98336964e+00  2.49548957e+00  2.82032259e+00  1.10841225e+00  1.08864663e+00  4.04857881e-01  4.22966351e-01  1.97478093e-01  1.21495544e-01  2.02048268e-01 -1.04069439e-01  3.51509721e-01 -1.24940408e-01
 5.19839700e+00  2.56651329e+01 -2.40491661e+00  4.79235107e+01  2.47419012e+00  2.21858894e+01  4.25517700e+00  7.13736268e+00  2.15132344e+00  2.46399318e+00  9.37232483e-01  9.10045613e-01  3.25567856e-01  3.45597408e-01  1.60470774e-01  9.62784354e-02  1.79346013e-01 -8.70138471e-02  3.43656304e-01 -1.00827262e-01
 5.25050100e+00  2.32433590e+01 -2.62638508e+00  4.37799507e+01  1.90618024e+00  2.01700558e+01  3.73124099e+00  6.38483474e+00  1.86497869e+00  2.15410225e+00  7.96190607e-01  7.60240030e-01  2.65201719e-01  2.81774333e-01  1.29586764e-01  7.53801548e-02  1.55469838e-01 -7.09137037e-02  3.29671557e-01 -8.35852058e-02
 5.30260500e+00  2.10233932e+01 -2.78795055e+00  3.99644839e+01  1.42147784e+00  1.83364642e+01  3.27085206e+00  5.71398449e+00  1.62522279e+00  1.88360043e+00  6.79538621e-01  6.34911752e-01  2.20137670e-01  2.28851453e-01  1.03865427e-01  5.83677129e-02  1.31037035e-01 -5.63695565e-02  3.10175528e-01 -7.21439430e-02
 5.35470900e+00  1.89906841e+01 -2.89951692e+00  3.64526492e+01  1.00718696e+00  1.66663998e+01  2.86510228e+00  5.11480405e+00  1.42259809e+00  1.64701006e+00  5.82580783e-01  5.30430863e-01  1.86903987e-01  1.84948259e-01  8.26516054e-02  4.49293974e-02  1.07038621e-01 -4.35326774e-02  2.86303308e-01 -6.49685568e-02
 5.40681400e+00  1.71318009e+01 -2.96946609e+00  3.32226393e+01  6.52913480e-01  1.51437091e+01  2.50696322e+00  4.57883597e+00  1.24953502e+00  1.43996838e+00  5.01512524e-01  4.43653040e-01  1.62358233e-01  1.48662924e-01  6.53969264e-02  3.47024857e-02  8.44980091e-02 -3.23598300e-02  2.59457172e-01 -6.05223114e-02
 5.45891800e+00  1.54341688e+01 -3.00485179e+00  3.02547860e+01  3.50338952e-01  1.37545430e+01  2.19080553e+00  4.09894309e+00  1.10019846e+00  1.25888917e+00  4.33283303e-01  3.71808136e-01  1.43816129e-01  1.18877033e-01  5.15762096e-02  2.72294403e-02  6.42655273e-02 -2.27538866e-02  2.31090777e-01 -5.75140062e-02
 5.51102200e+00  1.38856537e+01 -3.01159226e+00  2.75306094e+01  9.27076262e-02  1.24867752e+01  1.91193312e+00  3.66899064e+00  9.70170381e-01  1.10069241e+00  3.75463834e-01  3.12435983e-01  1.29119627e-01  9.46341027e-02  4.06713353e-02  2.19865632e-02  4.69156742e-02 -1.46217728e-02  2.02538139e-01 -5.49901547e-02
 5.56312600e+00  1.24746547e+01 -2.99463572e+00  2.50326979e+01 -1.25559671e-01  1.13297597e+01  1.66629677e+00  3.28367103e+00  8.56139705e-01  9.62665817e-01  3.26143402e-01  2.63375291e-01  1.16654316e-01  7.50846099e-02  3.21898602e-02  1.84420229e-02  3.27258434e-02 -7.88819593e-03  1.74906217e-01 -5.23330865e-02
 5.61523000e+00  1.11900983e+01 -2.95812028e+00  2.27444526e+01 -3.09195081e-01  1.02740101e+01  1.45027996e+00  2.93832326e+00  7.55608105e-01  8.42373475e-01  2.83829463e-01  2.22756798e-01  1.05315930e-01  5.94638929e-02  2.56867271e-02  1.61089359e-02  2.17026212e-02 -2.48718719e-03  1.49021343e-01 -4.92101042e-02
 5.66733500e+00  1.00214822e+01 -2.90551612e+00  2.06499898e+01 -4.62313843e-01  9.31096494e+00  1.26057745e+00  2.62880280e+00  6.66656070e-01  7.37610826e-01  2.47357996e-01  1.88995945e-01  9.44412166e-02  4.70886171e-02  2.07781067e-02  1.45798978e-02  1.36360478e-02  1.65176525e-03  1.25422536e-01 -4.55053184e-02
 5.71943900e+00  8.95902562e+00 -2.83975550e+00  1.87343179e+01 -5.88550909e-01  8.43290290e+00  1.09415482e+00  2.35141742e+00  5.87777928e-01  6.46393796e-01  2.15818397e-01  1.60780364e-01  8.37188504e-02  3.73600334e-02  1.71444909e-02  1.35403246e-02  8.16551106e-03  4.61492804e-03  1.04390427e-01 -4.12525866e-02
 5.77154300e+00  7.99357816e+00 -2.76333274e+00  1.69831502e+01 -6.91168254e-01  7.63271877e+00  9.48210973e-01  2.10283196e+00  5.17751900e-01  5.66938810e-01  1.88484506e-01  1.37042145e-01  7.30918656e-02  2.97639145e-02  1.45241491e-02  1.27645856e-02  4.84343756e-03  6.51102790e-03  8.59912306e-02 -3.65772218e-02
 5.82364700e+00  7.11672778e+00 -2.67839394e+00  1.53831232e+01 -7.73095419e-01  6.90391611e+00  8.20196051e-01  1.88005080e+00  4.55566512e-01  4.97665218e-01  1.64766549e-01  1.16930077e-01  6.26675014e-02  2.38692099e-02  1.27030346e-02  1.21022596e-02  3.19247006e-03  7.47159099e-03  7.01328411e-02 -3.16508632e-02
 5.87575200e+00  6.32075308e+00 -2.58680092e+00  1.39217647e+01 -8.36966217e-01  6.24051253e+00  7.07812891e-01  1.68037692e+00  4.00364230e-01  4.37183995e-01  1.44172352e-01  9.97750111e-02  5.26389888e-02  1.93214962e-02  1.15034704e-02  1.14603255e-02  2.74980597e-03  7.64716679e-03  5.66170543e-02 -2.66581912e-02
 5.92785600e+00  5.59865267e+00 -2.49018814e+00  1.25876132e+01 -8.85137414e-01  5.63703888e+00  6.09028784e-01  1.50140094e+00  3.51409491e-01  3.84290611e-01  1.26282777e-01  8.50574678e-02  4.32255838e-02  1.58342747e-02  1.07748187e-02  1.07860209e-02  3.09851998e-03  7.20040439e-03  4.51866780e-02 -2.17748463e-02
 5.97996000e+00  4.94400951e+00 -2.38998789e+00  1.13700350e+01 -9.19716419e-01  5.08842091e+00  5.22058359e-01  1.34095489e+00  3.08057168e-01  3.37943272e-01  1.10732431e-01  7.23743688e-02  3.46284737e-02  1.31780370e-02  1.03867819e-02  1.00526028e-02  3.88629493e-03  6.29760665e-03  3.55606672e-02 -1.71529683e-02
 6.03206400e+00  4.35100115e+00 -2.28746249e+00  1.02592999e+01 -9.42576489e-01  4.58999521e+00  4.45360083e-01  1.19710550e+00  2.69738396e-01  2.97250761e-01  9.72009614e-02  6.14129498e-02  2.70049237e-02  1.11701368e-02  1.02257809e-02  9.24907944e-03  4.83353707e-03  5.10005585e-03  2.74619404e-02 -1.29142495e-02
 6.08416800e+00  3.81432866e+00 -2.18372025e+00  9.24649902e+00 -9.55379132e-01  4.13746405e+00  3.77614813e-01  1.06812813e+00  2.35945257e-01  2.61453369e-01  8.54065787e-02  5.19275305e-02  2.04549966e-02  9.66508768e-03  1.01934321e-02  8.37350674e-03  5.73314029e-03  3.75624239e-03  2.06347300e-02 -9.14726741e-03
 6.13627300e+00  3.32915370e+00 -2.07972636e+00  8.32346468e+00 -9.59595273e-01  3.72685972e+00  3.17701055e-01  9.52483311e-01  2.06219118e-01  2.29904733e-01  7.51022427e-02  4.37211755e-02  1.50187082e-02  8.54640735e-03  1.02064284e-02  7.42914678e-03  6.44452016e-03  2.39564466e-03  1.48545282e-02 -5.90814220e-03
 6.18837700e+00  2.89108416e+00 -1.97632095e+00  7.48277338e+00 -9.56525567e-01  3.35454986e+00  2.64673588e-01  8.48805041e-01  1.80144156e-01  2.02057578e-01  6.60739046e-02  3.66324733e-02  1.06808506e-02  7.72023059e-03  1.01969831e-02  6.42268773e-03  6.88413677e-03  1.12461225e-03  9.93271951e-03 -3.22360642e-03
 6.24048100e+00  2.49607276e+00 -1.87421597e+00  6.71757449e+00 -9.47319883e-01  3.01716740e+00  2.17730649e-01  7.55868463e-01  1.57337343e-01  1.77445026e-01  5.81370893e-02  3.05245632e-02  7.37919932e-03  7.11032723e-03  1.01132114e-02  5.36343190e-03  7.01461191e-03  2.40483302e-05  5.71596116e-03 -1.09468940e-03
 6.29258500e+00  2.14041501e+00 -1.77401159e+00  6.02160121e+00 -9.32993967e-01  2.71162195e+00  1.76194155e-01  6.72581647e-01  1.37446013e-01  1.55669759e-01  5.11353293e-02  2.52788515e-02  5.01595049e-03  6.65471075e-03  9.91904203e-03  4.26318604e-03  6.83359279e-03 -8.50719498e-04  2.08395751e-03  4.98398156e-04
 6.34468900e+00  1.82070494e+00 -1.67620284e+00  5.38909641e+00 -9.14444605e-01  2.43507241e+00  1.39486397e-01  5.97967748e-01  1.20143992e-01  1.36391872e-01  4.49372841e-02  2.07902974e-02  3.46908876e-03  6.30319163e-03  9.59348479e-03  3.13616679e-03  6.36354721e-03 -1.46858162e-03 -1.05491585e-03  1.59160840e-03
