R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
3.1500;2743.9412;2588.6107;2174.8897;1635.7777;1118.0015;713.8488;444.5691;288.2388;211.9564;190.4530;216.5592;313.5100;557.1833;1114.5831;2284.8942;4441.8710;7644.3808;10933.3763;12392.3997
3.2000;2236.7592;2107.0154;1761.5910;1311.9595;881.0064;545.7642;323.5649;195.5227;133.5661;116.0804;136.8111;215.3743;416.0085;879.4638;1855.8152;3653.3510;6313.4682;9036.0389;10241.2400
3.2500;1812.0619;1703.9850;1416.3590;1042.3698;684.7027;407.5202;224.9009;120.5821;70.6162;56.4968;72.7203;135.7502;299.8113;683.2856;1494.8788;2988.6165;5193.0185;7442.1010;8435.7421
3.3000;1457.2720;1367.5134;1128.7245;818.5810;522.6795;294.3373;144.9344;60.4707;20.5180;9.2153;21.6806;71.6442;204.7371;520.3178;1192.2967;2429.7831;4251.9493;6105.8248;6923.3771
3.3500;1161.6536;1087.3555;889.7621;633.4189;389.4880;202.1601;80.5800;12.6968;-18.9160;-27.8660;-18.5158;20.5062;127.4742;385.5966;939.5623;1961.3503;3463.4768;4987.9963;5659.1959
3.4000;916.0500;854.7763;691.8696;480.7815;280.5019;127.5517;29.2277;-24.8443;-49.5311;-56.5202;-49.7355;-19.8312;65.1840;274.8332;729.3018;1569.9154;2804.5671;4055.0523;4604.7971
3.4500;712.6587;662.3353;528.5780;355.4840;191.7971;67.6029;-11.3275;-53.9271;-72.8813;-78.2403;-73.5535;-51.2067;15.4389;184.3307;555.1386;1243.9156;2255.4490;3278.3139;3727.4253
3.5000;544.8368;503.7003;394.3872;253.1253;120.0495;19.8546;-42.9452;-76.0452;-90.2727;-94.2807;-91.2957;-75.1767;-23.8329;110.9103;411.5724;973.3971;1799.1838;2633.3159;2999.1844
3.5500;406.9350;373.4878;284.6263;169.9733;62.4458;-17.7696;-67.1913;-92.4532;-102.8006;-105.6933;-104.0760;-93.0554;-54.3947;51.8452;293.8695;749.8096;1421.2866;2099.2223;2396.3539
3.6000;294.1535;267.1258;195.3326;102.8676;16.6088;-47.0194;-85.3820;-104.2031;-111.3815;-113.3576;-112.8279;-105.9498;-77.7442;4.8021;197.9659;565.8242;1109.3935;1658.3161;1898.7947
