# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 5.56312600e+00  1.24747791e+01 -2.99283960e+00  2.49148529e+01 -1.29154180e-01  1.13202641e+01  1.64957535e+00  3.23020341e+00  8.37759891e-01  9.44390019e-01  3.68479792e-01  2.53582196e-01  1.51927840e-01  5.46656489e-02  4.58414031e-02  1.08947412e-01 -1.47957395e-02 -1.13044615e-02  2.19096207e-01 -5.31973411e-03
 5.61523000e+00  1.11843579e+01 -2.95827409e+00  2.26307685e+01 -3.10080022e-01  1.02603219e+01  1.43832268e+00  2.88606067e+00  7.29535723e-01  8.29197625e-01  3.18063071e-01  2.17063642e-01  1.33366128e-01  4.01873645e-02  4.58939514e-02  1.05196497e-01 -1.93995945e-02 -6.82174058e-03  1.94268469e-01 -2.83128852e-03
 5.66733500e+00  1.00095980e+01 -2.90576480e+00  2.05395179e+01 -4.59726016e-01  9.29534610e+00  1.25292156e+00  2.57791880e+00  6.35887338e-01  7.27837460e-01  2.74555277e-01  1.86323453e-01  1.16121814e-01  2.85071167e-02  4.66952641e-02  1.01234859e-01 -2.31894152e-02 -2.56999386e-03  1.70620571e-01 -6.91380082e-04
 5.71943900e+00  8.94139719e+00 -2.83864150e+00  1.86264176e+01 -5.82009587e-01  8.41728294e+00  1.09014729e+00  2.30220427e+00  5.54864980e-01  6.38464727e-01  2.37156469e-01  1.60357016e-01  1.00223136e-01  1.93040634e-02  4.78027601e-02  9.69787222e-02 -2.61394931e-02  1.46606812e-03  1.48467594e-01  1.50273288e-03
 5.77154300e+00  7.97111156e+00 -2.75988745e+00  1.68775430e+01 -6.80451003e-01  7.61862327e+00  9.47132515e-01  2.05561703e+00  4.84747019e-01  5.59531570e-01  2.05119784e-01  1.38341471e-01  8.57072302e-02  1.22597948e-02  4.88707633e-02  9.24198678e-02 -2.82610418e-02  5.25467937e-03  1.28016197e-01  3.96906867e-03
 5.82364700e+00  7.09064892e+00 -2.67214576e+00  1.52798860e+01 -7.58201783e-01  6.89245094e+00  8.21356751e-01  1.83513593e+00  4.24020088e-01  4.89742259e-01  1.77747376e-01  1.19606458e-01  7.25948357e-02  7.05685933e-03  4.96474141e-02  8.76022795e-02 -2.95971537e-02  8.73776286e-03  1.09379991e-01  6.77465801e-03
 5.87575200e+00  6.29243243e+00 -2.57772211e+00  1.38212753e+01 -8.18078873e-01  6.23238548e+00  7.10615743e-01  1.63799882e+00  3.71357175e-01  4.28005467e-01  1.54390812e-01  1.03607059e-01  6.08768538e-02  3.38306324e-03  4.99677706e-02  8.26022815e-02 -3.02158700e-02  1.18502051e-02  9.25954342e-02  9.87573077e-03
 5.92785600e+00  5.56945679e+00 -2.47860425e+00  1.24904650e+01 -8.62585773e-01  5.63260342e+00  6.13002687e-01  1.46170943e+00  3.25606150e-01  3.73400923e-01  1.34457872e-01  8.99028359e-02  5.05117984e-02  9.39166087e-04  4.97436709e-02  7.75128281e-02 -3.02027041e-02  1.45342411e-02  7.76402171e-02  1.31570326e-02
 5.97996000e+00  4.91518637e+00 -2.37647049e+00  1.12769368e+01 -8.93943010e-01  5.08773151e+00  5.26866264e-01  1.30400567e+00  2.85769472e-01  3.25140136e-01  1.17414843e-01  7.81369612e-02  4.14270196e-02 -5.53857051e-04  4.89514324e-02  7.24301890e-02 -2.96538275e-02  1.67491442e-02  6.44472318e-02  1.64670297e-02
 6.03206400e+00  4.32360139e+00 -2.27272229e+00  1.01709776e+01 -9.14106437e-01  4.59286606e+00  4.50788926e-01  1.16286354e+00  2.50993969e-01  2.82544283e-01  1.02791449e-01  6.80211195e-02  3.35255657e-02 -1.34804372e-03  4.76183405e-02  6.74447900e-02 -2.86700929e-02  1.84753951e-02  5.29196706e-02  1.96456608e-02
 6.08416800e+00  3.78916038e+00 -2.16851175e+00  9.16360984e+00 -9.24791541e-01  4.14352667e+00  3.83554407e-01  1.03647879e+00  2.20554921e-01  2.45020797e-01  9.01809319e-02  5.93212014e-02  2.66933528e-02 -1.66392775e-03  4.58090619e-02  6.26345659e-02 -2.73521747e-02  1.97152164e-02  4.29420000e-02  2.25448948e-02
 6.13627300e+00  3.30676641e+00 -2.06477063e+00  8.24653181e+00 -9.27496134e-01  3.73561662e+00  3.24117933e-01  9.23248303e-01  1.93840465e-01  2.12045037e-01  7.92379619e-02  5.18454190e-02  2.08066527e-02 -1.68796433e-03  4.36127234e-02  5.80610202e-02 -2.57966252e-02  2.04902851e-02  3.43886885e-02  2.50421742e-02
 6.18837700e+00  2.87177599e+00 -1.96224931e+00  7.41214411e+00 -9.23522404e-01  3.36542260e+00  2.71584345e-01  8.21760531e-01  1.70338584e-01  1.83148935e-01  6.96755092e-02  4.54351663e-02  1.57394951e-02 -1.57185649e-03  4.11315663e-02  5.37680243e-02 -2.40929398e-02  2.08377421e-02  2.71315077e-02  2.70474949e-02
 6.24048100e+00  2.47991544e+00 -1.86153413e+00  6.65340218e+00 -9.13998389e-01  3.02953886e+00  2.25177965e-01  7.30763889e-01  1.49619610e-01  1.57906833e-01  6.12581816e-02  3.99563588e-02  1.13688836e-02 -1.43349162e-03  3.84709366e-02  4.97815843e-02 -2.23210726e-02  2.08056461e-02  2.10433330e-02  2.85060560e-02
 6.29258500e+00  2.12729031e+00 -1.76308230e+00  5.96384755e+00 -8.99897663e-01  2.72487209e+00  1.84227142e-01  6.49157162e-01  1.31324879e-01  1.35930550e-01  5.37967797e-02  3.52939162e-02  7.57987080e-03 -1.35914863e-03  3.57316725e-02  4.61118376e-02 -2.05499369e-02  2.04482897e-02  1.60020578e-02  2.93967848e-02
 6.34468900e+00  1.81034739e+00 -1.66724366e+00  5.33754987e+00 -8.82058089e-01  2.44860776e+00  1.48145988e-01  5.75969408e-01  1.15153988e-01  1.16863445e-01  4.71413831e-02  3.13469788e-02  4.26873584e-03 -1.40663486e-03  3.30043056e-02  4.27554618e-02 -1.88363964e-02  1.98220954e-02  1.18924236e-02  2.97286620e-02
 6.39679400e+00  1.52584204e+00 -1.57427941e+00  4.76905842e+00 -8.61198502e-01  2.19818179e+00  1.16419647e-01  5.10342129e-01  1.00853809e-01  1.00376611e-01  4.11746013e-02  2.80254783e-02  1.34500240e-03 -1.60902322e-03  3.03651698e-02  3.96985467e-02 -1.72248482e-02  1.89822355e-02  8.60703874e-03  2.95355366e-02
 6.44889800e+00  1.27083297e+00 -1.48438631e+00  4.25340792e+00 -8.37935881e-01  1.97127703e+00  8.85950159e-02  4.51518960e-01  8.82103426e-02  8.61678385e-02  3.58057485e-02  2.52480441e-02 -1.26735439e-03 -1.97867628e-03  2.78744819e-02  3.69198250e-02 -1.57475016e-02  1.79802033e-02  6.04700705e-03  2.88703311e-02
 6.50100200e+00  1.04262444e+00 -1.39770007e+00  3.78601798e+00 -8.12796848e-01  1.76577355e+00  6.42676686e-02  3.98824554e-01  7.70394011e-02  7.39583372e-02  3.09644798e-02  2.29401049e-02 -3.63015398e-03 -2.51138274e-03  2.55753807e-02  3.43931324e-02 -1.44248302e-02  1.68620653e-02  4.12147199e-03  2.77991605e-02
 6.55310600e+00  8.38765080e-01 -1.31431373e+00  3.36270414e+00 -7.86231569e-01  1.57974890e+00  4.30767425e-02  3.51657833e-01  6.71814808e-02  6.34931769e-02  2.65963066e-02  2.10332525e-02 -5.79140488e-03 -3.19033607e-03  2.34946541e-02  3.20900961e-02 -1.32667400e-02  1.56676315e-02  2.74750132e-03  2.63958672e-02
