R(Angstrom);0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
3.1500;2725.0770;2571.6108;2162.2548;1626.5607;1109.3073;704.8662;436.4620;280.5477;200.8985;171.8892;191.6412;288.7364;530.5625;1052.9872;2122.1894;4159.3244;7428.8811;11088.2449;12803.6414
3.2000;2186.6867;2061.6690;1727.5739;1289.1734;865.0221;533.5836;314.8105;189.3344;126.5483;104.1400;119.6679;197.2477;394.9374;828.4732;1721.2351;3422.5998;6145.8744;9183.7057;10604.6601
3.2500;1743.9653;1642.3440;1370.2595;1012.2587;665.2576;394.3903;216.7327;116.3352;67.3247;50.2661;62.2931;123.6016;284.0483;642.0992;1384.9772;2802.0158;5064.8167;7580.9994;8755.4732
3.3000;1380.9750;1298.5526;1077.4510;785.7513;502.5502;281.8326;138.1547;58.3599;20.5593;7.8157;16.9558;64.7553;193.8792;487.9839;1103.7784;2280.4489;4155.7081;6234.7407;7203.1955
3.3500;1084.2527;1017.5520;838.2818;601.1491;370.6044;191.3218;75.6597;12.7396;-15.9759;-25.2576;-18.4849;18.1507;121.0235;361.0980;869.3582;1843.1761;3392.8080;5106.0883;5902.6176
3.4000;842.4670;788.6150;643.6010;451.2934;264.1256;119.0081;26.3892;-22.7531;-44.1385;-50.6590;-45.8160;-18.3595;62.5969;257.1470;674.6108;1477.5532;2754.0546;4161.8365;4815.1325
3.4500;646.1112;602.7401;485.7267;330.1745;178.6732;61.6693;-12.0428;-49.9734;-65.4739;-69.8069;-66.5258;-46.5740;16.1611;172.4694;513.4472;1172.7349;2220.5609;3373.6293;3907.8078
3.5000;487.2336;452.3961;358.2288;232.7613;110.5328;16.6154;-41.6235;-70.4632;-81.2650;-83.8786;-81.8519;-67.9968;-20.3413;103.9485;380.6563;919.4302;1776.1767;2717.2791;3152.5825
3.5500;359.2008;331.2987;255.7387;154.8526;56.6052;-18.3936;-64.0034;-85.5011;-92.5751;-93.8497;-92.8212;-83.8830;-48.6430;48.9355;271.7850;709.6897;1407.1080;2172.1772;2525.5735
3.6000;256.4931;234.2176;173.7855;92.9487;14.3105;-45.2188;-80.5506;-96.1447;-100.2831;-100.5267;-100.2839;-95.2773;-70.2006;5.1828;183.0334;536.7206;1101.5880;1720.7853;2006.4769
3.6500;174.5286;156.8093;108.6544;44.1409;-18.4936;-65.4030;-92.3963;-103.2671;-105.1138;-104.5747;-104.9420;-103.0478;-86.2358;-29.2130;111.1636;394.7267;849.5913;1348.1958;1578.0526
3.7000;109.5117;95.4752;57.2658;6.0176;-43.5823;-80.2216;-100.4733;-107.5867;-107.6636;-106.5408;-107.3743;-107.9138;-97.7712;-55.8609;53.4213;278.7684;642.5876;1041.7526;1225.6797
3.7500;58.3057;47.2401;17.0720;-23.4170;-62.4230;-90.7266;-105.5490;-109.6934;-108.4217;-106.8742;-108.0559;-110.4697;-105.6607;-76.1188;7.4672;184.6427;473.3280;790.7257;936.9744
3.8000;18.3229;9.6493;-14.0302;-45.8104;-76.2259;-97.7838;-108.2529;-110.0699;-107.7880;-105.9419;-107.3762;-111.2054;-110.6157;-91.1299;-28.6823;108.7783;335.6616;586.0294;701.4615
3.8500;-12.5664;-19.3183;-37.7732;-62.5199;-85.9868;-102.1034;-109.0997;-109.1101;-106.0888;-104.0434;-105.6531;-110.5232;-113.2270;-101.8547;-56.7058;48.1459;224.3761;419.9815;510.2925
3.9000;-36.1120;-41.3237;-55.5814;-74.6610;-92.5230;-104.2666;-108.5089;-107.1340;-103.5888;-101.4217;-103.1450;-108.7524;-113.9839;-109.0984;-78.0213;0.1798;135.0619;286.0957;356.0037
3.9500;-53.7483;-57.7286;-68.6231;-83.1487;-96.5035;-104.7476;-106.8214;-104.4007;-100.5020;-98.2733;-100.0613;-106.1616;-113.2904;-113.5341;-93.8242;-37.2891;63.9940;178.9040;232.3090
4.0000;-66.6491;-69.6476;-77.8546;-88.7316;-98.4746;-103.9320;-104.3130;-101.1189;-97.0006;-94.7563;-96.5704;-102.9687;-111.4788;-115.7229;-105.1201;-66.0912;8.0313;93.8042;133.9224
