# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.98957918e+01  4.57520217e+00  1.05261783e+02  1.42247933e+01  5.20089812e+01  1.41247004e+01  1.97847102e+01  8.31132012e+00  8.65867535e+00  4.46223357e+00  4.64616789e+00  1.96002228e+00  2.05910757e+00  1.06525652e+00  7.67701237e-01  6.07195534e-01 -8.47090971e-02  4.00532429e-01  4.31233550e-02
 4.78156300e+00  5.48094833e+01  3.22883134e+00  9.68596865e+01  1.21213744e+01  4.74908714e+01  1.24440997e+01  1.77485466e+01  7.20752611e+00  7.62204993e+00  3.76010783e+00  3.81871523e+00  1.73434079e+00  1.82104737e+00  7.98377077e-01  6.96979944e-01  4.31654730e-01 -4.70853742e-02  3.21080328e-01 -7.34484044e-02
 4.83366700e+00  5.00129814e+01  2.02360338e+00  8.89050599e+01  1.02155072e+01  4.32398916e+01  1.09028548e+01  1.58445696e+01  6.21258864e+00  6.63671990e+00  3.13744846e+00  3.12150315e+00  1.50243543e+00  1.57537183e+00  5.91003364e-01  5.99739257e-01  3.01688497e-01 -2.96725896e-02  2.82592936e-01 -1.57474927e-01
 4.88577200e+00  4.55606598e+01  9.74376750e-01  8.14954740e+01  8.53929724e+00  3.93168275e+01  9.52759866e+00  1.41089133e+01  5.33873547e+00  5.72761300e+00  2.61032117e+00  2.56515535e+00  1.26769479e+00  1.32476390e+00  4.43629520e-01  4.83305085e-01  2.19015821e-01 -3.23134012e-02  2.81143324e-01 -2.06883840e-01
 4.93787600e+00  4.14712433e+01  8.42981855e-02  7.46666416e+01  7.09794001e+00  3.57425448e+01  8.32288183e+00  1.25556691e+01  4.58644152e+00  4.91603447e+00  2.17800075e+00  2.13804010e+00  1.03949653e+00  1.07922045e+00  3.46801113e-01  3.61076920e-01  1.76806173e-01 -5.08758935e-02  3.04944079e-01 -2.24793276e-01
 4.98998000e+00  3.77327671e+01 -6.54094332e-01  6.84004059e+01  5.87357244e+00  3.25035293e+01  7.27557857e+00  1.11794615e+01  3.94627448e+00  4.21464157e+00  1.82710179e+00  1.81298167e+00  8.29723393e-01  8.52427157e-01  2.85313255e-01  2.48133242e-01  1.62523061e-01 -7.84292010e-02  3.38452067e-01 -2.18125092e-01
 5.04208400e+00  3.43159407e+01 -1.25533307e+00  6.26484427e+01  4.83534619e+00  2.95674328e+01  6.36439420e+00  9.96370068e+00  3.40313728e+00  3.62477872e+00  1.53955977e+00  1.55854560e+00  6.48390775e-01  6.56537729e-01  2.43844494e-01  1.56232862e-01  1.62353811e-01 -1.07312735e-01  3.67660011e-01 -1.95403101e-01
 5.09418800e+00  3.11869560e+01 -1.73709400e+00  5.73553394e+01  3.94977285e+00  2.68978941e+01  5.56816438e+00  8.88858486e+00  2.94065398e+00  3.13723063e+00  1.29932059e+00  1.34830348e+00  5.00737683e-01  4.98360830e-01  2.11010984e-01  9.08655227e-02  1.65005460e-01 -1.31099263e-01  3.83732193e-01 -1.64704828e-01
 5.14629300e+00  2.83154797e+01 -2.11711680e+00  5.24728417e+01  3.18770624e+00  2.44633206e+01  4.86996980e+00  7.93587288e+00  2.54426624e+00  2.73585000e+00  1.09529842e+00  1.16490670e+00  3.86752962e-01  3.78395046e-01  1.80618928e-01  5.12447181e-02  1.63579985e-01 -1.45761134e-01  3.83810131e-01 -1.32378776e-01
 5.19839700e+00  2.56775573e+01 -2.41144163e+00  4.79645887e+01  2.52711386e+00  2.22395001e+01  4.25746931e+00  7.09039850e+00  2.20257516e+00  2.40219079e+00  9.21083762e-01  9.99572744e-01  3.02539604e-01  2.92203351e-01  1.50713240e-01  3.23438301e-02  1.55507934e-01 -1.49889452e-01  3.69618611e-01 -1.02635672e-01
