# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.96779510e+01  4.03421361e+00  1.04026758e+02  1.30669507e+01  5.09566677e+01  1.32808580e+01  1.89257374e+01  7.76274153e+00  8.01211267e+00  3.78189878e+00  4.04598539e+00  1.62368072e+00  1.55436266e+00  6.29628465e-01  7.01420395e-01  6.30762441e-01  3.26967892e-01  2.56412790e-01 -7.84646735e-02
 4.78156300e+00  5.48459851e+01  2.99910764e+00  9.64051873e+01  1.15360448e+01  4.70005814e+01  1.20020349e+01  1.72466798e+01  6.86928348e+00  7.13856760e+00  3.35905226e+00  3.54896006e+00  1.44440724e+00  1.38476376e+00  5.82000282e-01  5.97944451e-01  5.81917768e-01  1.59206611e-01  2.91248652e-01 -1.35956436e-01
 4.83366700e+00  5.02057232e+01  2.00056861e+00  8.89770112e+01  1.00393061e+01  4.31495484e+01  1.07494975e+01  1.56136398e+01  6.02554510e+00  6.31812911e+00  2.93999413e+00  3.08577498e+00  1.26488870e+00  1.21718018e+00  5.22384701e-01  4.96853945e-01  5.32586414e-01  2.58114942e-02  3.23157681e-01 -1.82823332e-01
 4.88577200e+00  4.58095240e+01  1.06723258e+00  8.18250034e+01  8.60431276e+00  3.94508741e+01  9.54644804e+00  1.40527649e+01  5.24643961e+00  5.56603512e+00  2.53820691e+00  2.66172847e+00  1.09000708e+00  1.05225247e+00  4.53498415e-01  4.02469319e-01  4.82062655e-01 -6.65892660e-02  3.52178318e-01 -2.18214705e-01
 4.93787600e+00  4.16968604e+01  2.25219502e-01  7.50302068e+01  7.26094964e+00  3.59490916e+01  8.41563836e+00  1.25910672e+01  4.54360083e+00  4.88851264e+00  2.16725029e+00  2.28007702e+00  9.25484676e-01  8.93817158e-01  3.81697485e-01  3.20435138e-01  4.28660089e-01 -1.20515330e-01  3.75481647e-01 -2.41405158e-01
 4.98998000e+00  3.78895257e+01 -5.07776081e-01  6.86572051e+01  6.03446253e+00  3.26792314e+01  7.37534583e+00  1.12492209e+01  3.92343627e+00  4.28424177e+00  1.83730674e+00  1.94227035e+00  7.76908129e-01  7.47040784e-01  3.13408445e-01  2.54265372e-01  3.72112066e-01 -1.44445621e-01  3.89262771e-01 -2.51422551e-01
 5.04208400e+00  3.43920119e+01 -1.12550103e+00  6.27442753e+01  4.94008841e+00  2.96628797e+01  6.43715054e+00  1.00366936e+01  3.38602765e+00  3.74844017e+00  1.55292901e+00  1.64806870e+00  6.48273273e-01  6.15843279e-01  2.52505208e-01  2.03576999e-01  3.14672154e-01 -1.47568644e-01  3.91416364e-01 -2.47863268e-01
 5.09418800e+00  3.11950547e+01 -1.63178678e+00  5.73019486e+01  3.98201441e+00  2.69074812e+01  5.60553013e+00  8.95210342e+00  2.92573010e+00  3.27561979e+00  1.31321083e+00  1.39543215e+00  5.41059626e-01  5.01863820e-01  2.00113484e-01  1.65184268e-01  2.60160727e-01 -1.36981857e-01  3.82620753e-01 -2.32043093e-01
 5.14629300e+00  2.82806079e+01 -2.03648386e+00  5.23187302e+01  3.15586465e+00  2.44083644e+01  4.87869382e+00  7.98727995e+00  2.53338792e+00  2.86019300e+00  1.11369686e+00  1.18063296e+00  4.54291385e-01  4.05089032e-01  1.55846942e-01  1.35374218e-01  2.12127940e-01 -1.17831890e-01  3.65454455e-01 -2.07194284e-01
 5.19839700e+00  2.56263869e+01 -2.35168355e+00  4.77687619e+01  2.45194944e+00  2.21517952e+01  4.24995582e+00  7.13133332e+00  2.19885628e+00  2.49635205e+00  9.48460385e-01  9.98855375e-01  3.85277499e-01  3.24728358e-01  1.18964977e-01  1.11369428e-01  1.72563246e-01 -9.42173293e-02  3.42922071e-01 -1.77520420e-01
 5.25050100e+00  2.32084164e+01 -2.58972100e+00  4.36170168e+01  1.85750053e+00  2.01174731e+01  3.70915167e+00  6.37264997e+00  1.91263505e+00  2.17816481e+00  8.11438408e-01  8.45019829e-01  3.30522929e-01  2.59495727e-01  8.88422904e-02  9.15214283e-02  1.41644934e-01 -6.94634632e-02  3.17526793e-01 -1.46921562e-01
 5.30260500e+00  2.10030947e+01 -2.76237243e+00  3.98242379e+01  1.35830488e+00  1.82815548e+01  3.24430765e+00  5.69970623e+00  1.66660107e+00  1.90001876e+00  6.97131745e-01  7.14508143e-01  2.86518054e-01  2.07573579e-01  6.49544372e-02  7.48920335e-02  1.18240848e-01 -4.59429831e-02  2.91039683e-01 -1.18198516e-01
 5.35470900e+00  1.89884695e+01 -2.88052613e+00  3.63510196e+01  9.39979702e-01  1.66195252e+01  2.84319102e+00  5.10145258e+00  1.45408994e+00  1.65693556e+00  6.00903501e-01  6.03500686e-01  2.50243834e-01  1.66676356e-01  4.67205972e-02  6.08494411e-02  1.00622712e-01 -2.49921054e-02  2.64614215e-01 -9.29081047e-02
 5.40681400e+00  1.71451911e+01 -2.95388895e+00  3.31614218e+01  5.89109150e-01  1.51087531e+01  2.49457243e+00  4.56779877e+00  1.26974227e+00  1.44465956e+00  5.19077527e-01  5.08988541e-01  2.19401102e-01  1.34338024e-01  3.34115165e-02  4.88869547e-02  8.70477592e-02 -7.10351400e-03  2.38961459e-01 -7.16119371e-02
 5.45891800e+00  1.54571665e+01 -2.99074598e+00  3.02256500e+01  2.94105339e-01  1.37303118e+01  2.18903712e+00  4.09012248e+00  1.10931469e+00  1.25959162e+00  4.48904523e-01  4.28623015e-01  1.92432019e-01  1.08281087e-01  2.41637391e-02  3.85956059e-02  7.60919653e-02  7.74070919e-03  2.14490820e-01 -5.42222933e-02
