# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh c19_mEh c20_mEh c21_mEh c22_mEh c23_mEh c24_mEh c25_mEh
 5.35470900e+00  1.89693160e+01 -2.89738353e+00  3.63604054e+01  9.58066249e-01  1.66267084e+01  2.81860886e+00  5.06454257e+00  1.42805410e+00  1.63256691e+00  5.87525313e-01  5.49089135e-01  1.87132082e-01  1.89818689e-01  7.86460847e-02  7.27125035e-02  6.34261280e-02 -7.78349949e-02  2.65762414e-01 -8.80188569e-02 -4.80778948e-02 -6.53680597e-02 -5.70511082e-02  1.24900558e-03 -2.50018182e-02 -1.56159004e-02 -2.91848922e-02
 5.40681400e+00  1.71173916e+01 -2.96887817e+00  3.31499212e+01  6.01675773e-01  1.50991369e+01  2.46448297e+00  4.53030001e+00  1.24816227e+00  1.41911255e+00  5.02153599e-01  4.58848106e-01  1.59994628e-01  1.57240798e-01  6.20315438e-02  6.27525331e-02  5.62258459e-02 -6.01523872e-02  2.38782995e-01 -6.54358101e-02 -4.26368230e-02 -5.69830236e-02 -4.75550005e-02  6.18896312e-03 -2.51400020e-02 -1.00973518e-02 -2.32316546e-02
 5.45891800e+00  1.54285409e+01 -3.00407778e+00  3.02067811e+01  3.01815906e-01  1.37118980e+01  2.15656241e+00  4.05732287e+00  1.09400340e+00  1.23556049e+00  4.32066056e-01  3.85050179e-01  1.38271645e-01  1.32003360e-01  4.88405481e-02  5.43256173e-02  4.89530850e-02 -4.49247686e-02  2.12325823e-01 -4.65761850e-02 -3.65059477e-02 -4.99581715e-02 -3.71836326e-02  1.02912358e-02 -2.50887543e-02 -5.04412758e-03 -1.72486602e-02
 5.51102200e+00  1.38881831e+01 -3.00945323e+00  2.75066645e+01  5.01674277e-02  1.24497715e+01  1.88751102e+00  3.63657375e+00  9.60752498e-01  1.07734449e+00  3.73986057e-01  3.24504708e-01  1.20229416e-01  1.11860702e-01  3.86969933e-02  4.73998130e-02  4.18043305e-02 -3.20958539e-02  1.87280285e-01 -3.12159139e-02 -3.01889971e-02 -4.43890932e-02 -2.70711494e-02  1.35786605e-02 -2.47093910e-02 -7.36333876e-04 -1.19080969e-02
 5.56312600e+00  1.24828077e+01 -2.99034607e+00  2.50275529e+01 -1.60372149e-01  1.12993463e+01  1.65116281e+00  3.26037776e+00  8.44613298e-01  9.40618699e-01  3.25248522e-01  2.74550608e-01  1.04712335e-01  9.51895435e-02  3.11620296e-02  4.18542319e-02  3.51689246e-02 -2.15902088e-02  1.64146860e-01 -1.91186114e-02 -2.41794710e-02 -4.01280214e-02 -1.80365746e-02  1.60432739e-02 -2.38933603e-02  2.62972343e-03 -7.66345968e-03
 5.61523000e+00  1.12003758e+01 -2.95117702e+00  2.27502810e+01 -3.35765851e-01  1.02492348e+01  1.44251704e+00  2.92252025e+00  7.42682137e-01  8.22189982e-01  2.83774091e-01  2.33058113e-01  9.10147181e-02  8.09046318e-02  2.57616398e-02  3.75194811e-02  2.94070252e-02 -1.32766807e-02  1.43131496e-01 -1.00096853e-02 -1.88486569e-02 -3.69025981e-02 -1.05795762e-02  1.76841936e-02 -2.25956133e-02  4.96038687e-03 -4.71685836e-03
 5.66733500e+00  1.00304034e+01 -2.89564724e+00  2.06585423e+01 -4.80976408e-01  9.28997977e+00  1.25762567e+00  2.61813832e+00  6.52779016e-01  7.19408602e-01  2.48003903e-01  1.98375244e-01  7.87532651e-02  6.83520293e-02  2.20179443e-02  3.42065221e-02  2.47315381e-02 -6.95541735e-03  1.24240561e-01 -3.55351375e-03 -1.44035948e-02 -3.44164091e-02 -4.91343749e-03  1.85345983e-02 -2.08474099e-02  6.27233260e-03 -3.04615331e-03
 5.71943900e+00  8.96388617e+00 -2.82690923e+00  1.87386386e+01 -6.00126672e-01  8.41382147e+00  1.09342600e+00  2.34350667e+00  5.73280463e-01  6.30064917e-01  2.16813048e-01  1.69246435e-01  6.77548499e-02  5.71949824e-02  1.94805168e-02  3.17223056e-02  2.11814692e-02 -2.36807031e-03  1.07362025e-01  6.46660300e-04 -1.08971232e-02 -3.24135928e-02 -1.02203690e-03  1.86699792e-02 -1.87480935e-02  6.68143910e-03 -2.46576193e-03
 5.77154300e+00  7.99285605e+00 -2.74767936e+00  1.69785956e+01 -6.96689220e-01  7.61417301e+00  9.47511090e-01  2.09571275e+00  5.02949831e-01  5.52284169e-01  1.89407972e-01  1.44715993e-01  5.79622514e-02  4.73008356e-02  1.77521511e-02  2.98763172e-02  1.86533190e-02  7.79216652e-04  9.23223395e-02  3.02817203e-03 -8.26561399e-03 -3.07065614e-02  1.27402586e-03  1.82012080e-02 -1.64419846e-02  6.37515309e-03 -2.69761515e-03
 5.82364700e+00  7.11013894e+00 -2.66031767e+00  1.53676578e+01 -7.73625965e-01  6.88528479e+00  8.17946929e-01  1.87240305e+00  4.40812185e-01  4.84464877e-01  1.65234846e-01  1.24045639e-01  4.93649830e-02  3.86445991e-02  1.65070305e-02  2.84853614e-02  1.69582541e-02  2.78738058e-03  7.89275637e-02  4.03510002e-03 -6.37642966e-03 -2.91770372e-02  2.25128730e-03  1.72594397e-02 -1.40901278e-02  5.57577857e-03 -3.43637529e-03
 5.87575200e+00  6.30904188e+00 -2.56686947e+00  1.38956791e+01 -8.33509630e-01  6.22188172e+00  7.03105142e-01  1.67154859e+00  3.86051660e-01  4.25227330e-01  1.43897721e-01  1.06644585e-01  4.19514975e-02  3.12333181e-02  1.54987423e-02  2.73792698e-02  1.58778004e-02  3.93991293e-03  6.69871433e-02  4.08444135e-03 -5.07049808e-03 -2.77616528e-02  2.22694375e-03  1.59799848e-02 -1.18441402e-02  4.50441978e-03 -4.39903468e-03
 5.92785600e+00  5.58323759e+00 -2.46909945e+00  1.25528937e+01 -8.78601674e-01  5.61899569e+00  6.01556655e-01  1.49130476e+00  3.37947414e-01  3.73385171e-01  1.25098160e-01  9.20211581e-02  3.56828637e-02  2.50570642e-02  1.45592570e-02  2.64085944e-02  1.52046709e-02  4.48544838e-03  5.63283853e-02  3.53976601e-03 -4.19386309e-03 -2.64329491e-02  1.51560415e-03  1.44896200e-02 -9.82737146e-03  3.35279516e-03 -5.35580012e-03
 5.97996000e+00  4.92659702e+00 -2.36850143e+00  1.13296073e+01 -9.10911907e-01  5.07178427e+00  5.11988611e-01  1.32990016e+00  2.95826481e-01  3.27915169e-01  1.08590193e-01  7.97491104e-02  3.04817765e-02  2.00630940e-02  1.35904158e-02  2.54522865e-02  1.47647581e-02  4.62900207e-03  4.68015560e-02  2.69617818e-03 -3.61606364e-03 -2.51821168e-02  4.00293963e-04  1.28986687e-02 -8.12432758e-03  2.26623600e-03 -6.14375078e-03
 6.03206400e+00  4.33325283e+00 -2.26632716e+00  1.02163311e+01 -9.32225928e-01  4.57556488e+00  4.33179395e-01  1.18561782e+00  2.59048244e-01  2.87943084e-01  9.41561131e-02  6.94516118e-02  2.62350854e-02  1.61513617e-02  1.25508726e-02  2.44235397e-02  1.44238515e-02  4.53041047e-03  3.82827462e-02  1.77634964e-03 -3.23745743e-03 -2.40071516e-02 -8.83657124e-04  1.12979872e-02 -6.77850804e-03  1.33834959e-03 -6.66670017e-03
 6.08416800e+00  3.79762660e+00 -2.16360983e+00  9.20386103e+00 -9.44127065e-01  4.12583681e+00  3.63986103e-01  1.05679208e+00  2.26997936e-01  2.52725423e-01  8.15926342e-02  6.07934092e-02  2.28029849e-02  1.31827651e-02  1.14408403e-02  2.32718718e-02  1.40846565e-02  4.30817672e-03  3.06726703e-02  9.35008793e-04 -2.98834919e-03 -2.29063640e-02 -2.15452929e-03  9.75906731e-03 -5.79600503e-03  6.14677114e-04 -6.88628174e-03
 6.13627300e+00  3.31447568e+00 -2.06119086e+00  8.28340313e+00 -9.48012097e-01  3.71833020e+00  3.03345818e-01  9.41826102e-01  1.99089453e-01  2.21632463e-01  7.07053735e-02  5.34789585e-02  2.00316858e-02  1.09945129e-02  1.02869945e-02  2.19810961e-02  1.36798973e-02  4.04614892e-03  2.38937572e-02  2.68417450e-04 -2.82361524e-03 -2.18761686e-02 -3.28304840e-03  8.33575904e-03 -5.15279155e-03  1.02076297e-04 -6.80858033e-03
 6.18837700e+00  2.87897538e+00 -1.95975748e+00  7.44676947e+00 -9.45105993e-01  3.34909021e+00  2.50286412e-01  8.39225526e-01  1.74774822e-01  1.94134668e-01  6.13087937e-02  4.72535970e-02  1.77666437e-02  9.41732891e-03  9.12928757e-03  2.05639164e-02  1.31654066e-02  3.80102646e-03  1.78867601e-02 -1.74138164e-04 -2.71576415e-03 -2.09114968e-02 -4.18681614e-03  7.06651800e-03 -4.80363489e-03 -2.19437396e-04 -6.46980935e-03
 6.24048100e+00  2.48668870e+00 -1.85985949e+00  6.68636062e+00 -9.36478152e-01  3.01446715e+00  2.03924547e-01  7.47607213e-01  1.53549155e-01  1.69784106e-01  5.32260314e-02  4.19033739e-02  1.58635539e-02  8.29022979e-03  8.01029771e-03  1.90540221e-02  1.25149270e-02  3.60919422e-03  1.26055306e-02 -3.79154635e-04 -2.64840187e-03 -2.00069632e-02 -4.82285516e-03  5.97610567e-03 -4.69090147e-03 -3.85107523e-04 -5.92327118e-03
 6.29258500e+00  2.13360585e+00 -1.76194240e+00  5.99527747e+00 -9.23058887e-01  2.71116368e+00  1.63471613e-01  6.65722716e-01  1.34959628e-01  1.48203211e-01  4.62912945e-02  3.72549717e-02  1.41970608e-02  7.47171540e-03  6.96790038e-03  1.74976184e-02  1.17170319e-02  3.49225664e-03  8.01302673e-03 -3.58903898e-04 -2.61122000e-03 -1.91581112e-02 -5.17934958e-03  5.07713566e-03 -4.75247733e-03 -4.35567912e-04 -5.22882666e-03
 6.34468900e+00  1.81611571e+00 -1.66636636e+00  5.36729773e+00 -9.05656864e-01  2.43622111e+00  1.28229443e-01  5.92461558e-01  1.18609100e-01  1.29072065e-01  4.03509294e-02  3.31730580e-02  1.26659856e-02  6.84612148e-03  6.03079312e-03  1.59452919e-02  1.07734284e-02  3.46102771e-03  4.07697004e-03 -1.43198608e-04 -2.59675405e-03 -1.83619188e-02 -5.26784067e-03  4.37121047e-03 -4.92805668e-03 -4.09632468e-04 -4.44522989e-03
 6.39679400e+00  1.53096757e+00 -1.57342069e+00  4.79682598e+00 -8.84975368e-01  2.18699348e+00  9.75833438e-02  5.26847619e-01  1.04157063e-01  1.12117724e-01  3.52641639e-02  2.95559898e-02  1.11955172e-02  6.32576796e-03  5.21654915e-03  1.44452308e-02  9.69777487e-03  3.51821768e-03  7.66219319e-04  2.27240944e-04 -2.59873314e-03 -1.76166018e-02 -5.11620861e-03  3.85008752e-03 -5.16369213e-03 -3.39796475e-04 -3.62514350e-03
 6.44889800e+00  1.27525183e+00 -1.48334313e+00  4.27887535e+00 -8.61629199e-01  1.96113486e+00  7.09958687e-02  4.68035392e-01  9.13190539e-02  9.71067470e-02  3.09038781e-02  2.63305990e-02  9.73692650e-03  5.84981493e-03  4.53167376e-03  1.30384304e-02  8.51439319e-03  3.66018481e-03 -1.95171093e-03  7.06024886e-04 -2.61157340e-03 -1.69209801e-02 -4.76267821e-03  3.49713427e-03 -5.41460643e-03 -2.50155754e-04 -2.81248272e-03
