# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 4.72945900e+00  5.97460399e+01  4.04301322e+00  1.04509972e+02  1.31919805e+01  5.11727601e+01  1.33122522e+01  1.89620392e+01  7.71743530e+00  8.11152944e+00  4.02468591e+00  4.10235547e+00  1.78340396e+00  1.96589684e+00  8.34576980e-01  7.90279212e-01  7.35781440e-01  6.32686745e-02  4.58495422e-01 -1.54400685e-01
 4.78156300e+00  5.47385371e+01  3.00974064e+00  9.66026609e+01  1.17213705e+01  4.71425916e+01  1.21106733e+01  1.73624478e+01  6.89257830e+00  7.30086623e+00  3.43041807e+00  3.54200093e+00  1.52259209e+00  1.65842510e+00  7.22738449e-01  6.43765377e-01  7.00034696e-01  3.61613353e-02  4.42581365e-01 -8.41865482e-02
 4.83366700e+00  5.00084352e+01  2.00281409e+00  8.89869867e+01  1.02294034e+01  4.32363378e+01  1.08842745e+01  1.57555766e+01  6.09314201e+00  6.49161191e+00  2.91507385e+00  3.01641603e+00  1.30440864e+00  1.37008336e+00  6.02007749e-01  5.22791419e-01  6.29296582e-01  1.11062167e-02  4.32932065e-01 -5.76496356e-02
 4.88577200e+00  4.55988889e+01  1.05526796e+00  8.17515698e+01  8.76364949e+00  3.95022154e+01  9.67126914e+00  1.41875351e+01  5.33760359e+00  5.70803465e+00  2.47811761e+00  2.54280852e+00  1.11820128e+00  1.11729537e+00  4.85150471e-01  4.25774224e-01  5.33150166e-01 -1.24941903e-02  4.21378255e-01 -6.39291203e-02
 4.93787600e+00  4.15234910e+01  1.95710436e-01  7.49563134e+01  7.37351076e+00  3.59825064e+01  8.51240488e+00  1.27000479e+01  4.64156803e+00  4.97459901e+00  2.11179672e+00  2.13139226e+00  9.53966288e-01  9.07555340e-01  3.81228210e-01  3.48467909e-01  4.26879141e-01 -3.41861254e-02  4.03682630e-01 -8.85339964e-02
 4.98998000e+00  3.77731861e+01 -5.56022847e-01  6.86302488e+01  6.09975020e+00  3.27075603e+01  7.44168783e+00  1.13232417e+01  4.01521001e+00  4.31026702e+00  1.80444656e+00  1.78406245e+00  8.05936697e-01  7.38924543e-01  2.93921924e-01  2.86130033e-01  3.25763705e-01 -5.29344093e-02  3.80500184e-01 -1.17344434e-01
 5.04208400e+00  3.43281779e+01 -1.19040244e+00  6.27778036e+01  4.96786928e+00  2.96936036e+01  6.48049801e+00  1.00737599e+01  3.46251539e+00  3.72540164e+00  1.54395887e+00  1.49610814e+00  6.73118653e-01  6.03699149e-01  2.22638909e-01  2.34640002e-01  2.40651565e-01 -6.77352595e-02  3.55471338e-01 -1.40120491e-01
 5.09418800e+00  3.11669846e+01 -1.70752601e+00  5.73871818e+01  3.98701123e+00  2.69435309e+01  5.63659164e+00  8.95678365e+00  2.98208515e+00  3.22155100e+00  1.32023774e+00  1.25921066e+00  5.57056296e-01  4.93216123e-01  1.65020080e-01  1.90879405e-01  1.76420787e-01 -7.78993759e-02  3.32176083e-01 -1.51970577e-01
 5.14629300e+00  2.82702815e+01 -2.11503518e+00  5.24372596e+01  3.15306275e+00  2.44495570e+01  4.90681939e+00  7.96927163e+00  2.56881648e+00  2.79338430e+00  1.12621411e+00  1.06414739e+00  4.59091515e-01  4.00964456e-01  1.18963849e-01  1.52896257e-01  1.32822198e-01 -8.30939728e-02  3.12193574e-01 -1.52637132e-01
 5.19839700e+00  2.56207166e+01 -2.42543330e+00  4.79014688e+01  2.45321123e+00  2.21962339e+01  4.28110611e+00  7.10260485e+00  2.21563560e+00  2.43155395e+00  9.57532929e-01  9.02483623e-01  3.78924824e-01  3.23204415e-01  8.32082246e-02  1.19835151e-01  1.06377499e-01 -8.33864566e-02  2.95036131e-01 -1.44592281e-01
 5.25050100e+00  2.32006938e+01 -2.65349878e+00  4.37485556e+01  1.86993226e+00  2.01626469e+01  3.74581810e+00  6.34429097e+00  1.91473289e+00  2.12528579e+00  8.11496020e-01  7.67256997e-01  3.14665488e-01  2.58024635e-01  5.68350158e-02  9.15484211e-02  9.22699484e-02 -7.93120470e-02  2.79201448e-01 -1.31141961e-01
 5.30260500e+00  2.09915797e+01 -2.81405133e+00  3.99444395e+01  1.38425489e+00  1.83250966e+01  3.28636509e+00  5.67974635e+00  1.65843560e+00  1.86427486e+00  6.86068804e-01  6.53081711e-01  2.63628778e-01  2.04187321e-01  3.86370808e-02  6.80995621e-02  8.57397213e-02 -7.18432004e-02  2.63260994e-01 -1.15222885e-01
 5.35470900e+00  1.89741659e+01 -2.92044904e+00  3.64546904e+01  9.78111054e-01  1.66596630e+01  2.88895581e+00  5.09409926e+00  1.43971720e+00  1.63967187e+00  5.79291599e-01  5.55937478e-01  2.23086217e-01  1.60450322e-01  2.69104273e-02  4.94108446e-02  8.28759180e-02 -6.22147120e-02  2.46411042e-01 -9.89501072e-02
 5.40681400e+00  1.71300311e+01 -2.98382559e+00  3.32474438e+01  6.35900462e-01  1.51445028e+01  2.54172814e+00  4.57382530e+00  1.25247831e+00  1.44440693e+00  4.89117475e-01  4.72866464e-01  1.90672894e-01  1.25418183e-01  1.96844262e-02  3.51526805e-02  8.09180529e-02 -5.16728268e-02  2.28500147e-01 -8.36360151e-02
 5.45891800e+00  1.54429597e+01 -3.01295084e+00  3.02957974e+01  3.45277248e-01  1.37614533e+01  2.23532081e+00  4.10785383e+00  1.09165200e+00  1.27312352e+00  4.13488288e-01  4.01684670e-01  1.64497757e-01  9.76641366e-02  1.51132352e-02  2.48016140e-02  7.82284701e-02 -4.12544468e-02  2.09795138e-01 -6.99839577e-02
 5.51102200e+00  1.38992924e+01 -3.01451514e+00  2.75780913e+01  9.71322963e-02  1.24962701e+01  1.96284491e+00  3.68783385e+00  9.53118940e-01  1.12187541e+00  3.50438616e-01  3.40726582e-01  1.43098776e-01  7.58756441e-02  1.17766722e-02  1.77454445e-02  7.40836301e-02 -3.16608822e-02  1.90715328e-01 -5.82788813e-02
 5.56312600e+00  1.24878564e+01 -2.99359021e+00  2.50774054e+01 -1.14898222e-01  1.13382402e+01  1.71952312e+00  3.30787566e+00  8.33561074e-01  9.87796570e-01  2.98169577e-01  2.88666416e-01  1.25367642e-01  5.89322390e-02  8.79275556e-03  1.33660935e-02  6.83990068e-02 -2.32427478e-02  1.71657543e-01 -4.85288855e-02
 5.61523000e+00  1.11992367e+01 -2.95411144e+00  2.27799535e+01 -2.95222211e-01  1.02791388e+01  1.50209043e+00  2.96389166e+00  7.30264690e-01  8.68767896e-01  2.55055678e-01  2.44388991e-01  1.10480322e-01  4.59045934e-02  5.76392417e-03  1.10780985e-02  6.14645440e-02 -1.60660390e-02  1.52923277e-01 -4.05626446e-02
 5.66733500e+00  1.00249664e+01 -2.89926770e+00  2.06734247e+01 -4.47079904e-01  9.31212682e+00  1.30818686e+00  2.65287761e+00  6.40946923e-01  7.63146232e-01  2.19623787e-01  2.06910610e-01  9.78413484e-02  3.60178409e-02  2.63489079e-03  1.03394457e-02  5.37338561e-02 -1.00177378e-02  1.34717700e-01 -3.41052247e-02
 5.71943900e+00  8.95701418e+00 -2.83177034e+00  1.87459412e+01 -5.73147555e-01  8.43097801e+00  1.13589069e+00  2.37235694e+00  5.63639085e-01  6.69579581e-01  1.90536716e-01  1.75340303e-01  8.70344216e-02  2.86141344e-02 -4.64087816e-04  1.06549997e-02  4.56825051e-02 -4.91166351e-03  1.17182033e-01 -2.88431376e-02
 5.77154300e+00  7.98734915e+00 -2.75399625e+00  1.69852271e+01 -6.75932456e-01  7.62948261e+00  9.83394005e-01  2.11998323e+00  4.96604539e-01  5.86874893e-01  1.66586406e-01  1.48858532e-01  7.77713616e-02  2.31276895e-02 -3.34418274e-03  1.15840030e-02  3.77274863e-02 -5.66858521e-04  1.00425161e-01 -2.44762590e-02
 5.82364700e+00  7.10800373e+00 -2.66806112e+00  1.53787245e+01 -7.57922008e-01  6.90137287e+00  8.48883966e-01  1.89340945e+00  4.38312668e-01  5.13943205e-01  1.46708394e-01  1.26716768e-01  6.98463676e-02  1.90765179e-02 -5.83801374e-03  1.27527402e-02  3.01950430e-02  3.14885165e-03  8.45476557e-02 -2.07545530e-02
 5.87575200e+00  6.31117340e+00 -2.57584304e+00  1.39138114e+01 -8.21599683e-01  6.24036505e+00  7.30522907e-01  1.69026793e+00  3.87424740e-01  4.49770603e-01  1.29996407e-01  1.08238599e-01  6.30968311e-02  1.60613121e-02 -7.83716595e-03  1.38670677e-02  2.33165272e-02  6.30852552e-03  6.96500279e-02 -1.74953024e-02
 5.92785600e+00  5.58946784e+00 -2.47900060e+00  1.25783171e+01 -8.69377119e-01  5.64038247e+00  6.26506657e-01  1.50824866e+00  3.42793436e-01  3.93417298e-01  1.15712759e-01  9.28239926e-02  5.73768608e-02  1.37660311e-02 -9.29882556e-03  1.47192945e-02  1.72391225e-02  8.93733687e-03  5.58320353e-02 -1.45839068e-02
 5.97996000e+00  4.93598258e+00 -2.37897267e+00  1.13607160e+01 -9.03520988e-01  5.09565732e+00  5.35117691e-01  1.34515506e+00  3.03450786e-01  3.44012168e-01  1.03283466e-01  7.99484013e-02  5.25421689e-02  1.19546806e-02 -1.02354710e-02  1.51868372e-02  1.20396136e-02  1.10343551e-02  4.31831578e-02 -1.19622771e-02
 6.03206400e+00  4.34445604e+00 -2.27700033e+00  1.02504777e+01 -9.26084452e-01  4.60090988e+00  4.54789739e-01  1.19898097e+00  2.68599982e-01  3.00760168e-01  9.22841749e-02  6.91629000e-02  4.84468692e-02  1.04638812e-02 -1.06975046e-02  1.52224706e-02  7.73892690e-03  1.25939721e-02  3.17742336e-02 -9.61211193e-03
 6.08416800e+00  3.80927376e+00 -2.17414407e+00  9.23812907e+00 -9.38875178e-01  4.15139488e+00  3.84137031e-01  1.06793690e+00  2.37595951e-01  2.62940831e-01  8.24155238e-02  6.00899650e-02  4.49466446e-02  9.19095876e-03 -1.07562873e-02  1.48389400e-02  4.31385816e-03  1.36220817e-02  2.16489913e-02 -7.53727689e-03
 6.13627300e+00  3.32542136e+00 -2.07130203e+00  8.31520965e+00 -9.43451012e-01  3.74289290e+00  3.21960639e-01  9.50448984e-01  2.09922167e-01  2.29904713e-01  7.34747347e-02  5.24174432e-02  4.19053032e-02  8.07969007e-03 -1.04907279e-02  1.40909938e-02  1.70698834e-03  1.41445127e-02  1.28188731e-02 -5.74903390e-03
 6.18837700e+00  2.88844761e+00 -1.96923729e+00  7.47423551e+00 -9.41136762e-01  3.37169725e+00  2.67241910e-01  8.45148336e-01  1.85168354e-01  2.01071021e-01  6.53286468e-02  4.58917642e-02  3.92018707e-02  7.10581747e-03 -9.97842831e-03  1.30579135e-02 -1.64332381e-04  1.42082934e-02  5.26248012e-03 -4.25579973e-03
 6.24048100e+00  2.49432344e+00 -1.86858316e+00  6.70845291e+00 -9.33053668e-01  3.03450128e+00  2.19113032e-01  7.50827763e-01  1.63003766e-01  1.75918327e-01  5.78888877e-02  4.03089094e-02  3.67353974e-02  6.26377468e-03 -9.29075202e-03  1.18284066e-02 -1.40006178e-03  1.38778626e-02 -1.07305711e-03 -3.05705967e-03
 6.29258500e+00  2.13939903e+00 -1.76986576e+00  6.01176850e+00 -9.20151929e-01  2.72835947e+00  1.76835396e-01  6.66419422e-01  1.43158502e-01  1.53981882e-01  5.10942175e-02  3.55066888e-02  3.44277538e-02  5.55620435e-03 -8.49077934e-03  1.04892505e-02 -2.10944881e-03  1.32284194e-02 -6.26621420e-03 -2.14139469e-03
 6.34468900e+00  1.82032705e+00 -1.67351458e+00  5.37860754e+00 -9.03242372e-01  2.45061445e+00  1.39772538e-01  5.90964598e-01  1.25405838e-01  1.34848248e-01  4.48976713e-02  3.13566204e-02  3.22235023e-02  4.98643176e-03 -7.63290722e-03  9.11769590e-03 -2.40389978e-03  1.23386889e-02 -1.04144265e-02 -1.48700828e-03
 6.39679400e+00  1.53400821e+00 -1.57987169e+00  4.80380880e+00 -8.83023053e-01  2.19883977e+00  1.07367496e-01  5.23591015e-01  1.09548902e-01  1.18150974e-01  3.92587474e-02  2.77566992e-02  3.00876964e-02  4.55394440e-03 -6.76318228e-03  7.77727011e-03 -2.39075608e-03  1.12844916e-02 -1.36267852e-02 -1.06387637e-03
 6.44889800e+00  1.27757970e+00 -1.48920877e+00  4.28260221e+00 -8.60102342e-01  1.97081964e+00  7.91280105e-02  4.63503114e-01  9.54126635e-02  1.03568286e-01  3.41398988e-02  2.46255564e-02  2.80025580e-02  4.25243733e-03 -5.91989654e-03  6.51638690e-03 -2.16839181e-03  1.01340661e-02 -1.60168815e-02 -8.36623328e-04
 6.50100200e+00  1.04836261e+00 -1.40172560e+00  3.81050229e+00 -8.35012756e-01  1.76449319e+00  5.46104218e-02  4.09965259e-01  8.28361542e-02  9.08178738e-02  2.95044549e-02  2.18971081e-02  2.59631923e-02  4.06965489e-03 -5.13393057e-03  5.36855771e-03 -1.82280186e-03  8.94506834e-03 -1.76973403e-02 -7.67373881e-04
 6.55310600e+00  8.43873502e-01 -1.31756613e+00  3.38333078e+00 -8.08224243e-01  1.57795690e+00  3.34138772e-02  3.62302037e-01  7.16702478e-02  7.96549334e-02  2.53170198e-02  1.95170363e-02  2.39737775e-02  3.98851653e-03 -4.42912809e-03  4.35398542e-03 -1.42569566e-03  7.76349479e-03 -1.87751663e-02 -8.18349030e-04
 6.60521000e+00  6.61812455e-01 -1.23682485e+00  2.99719351e+00 -7.80152293e-01  1.40944868e+00  1.51742887e-02  3.19894261e-01  6.17756070e-02  6.98684651e-02  2.15438716e-02  1.74399128e-02  2.20440209e-02  3.98880164e-03 -3.82250870e-03  3.48157649e-03 -1.03393263e-03  6.62385074e-03 -1.93489189e-02 -9.53886621e-04
