# R_Bohr c0_mEh c1_mEh c2_mEh c3_mEh c4_mEh c5_mEh c6_mEh c7_mEh c8_mEh c9_mEh c10_mEh c11_mEh c12_mEh c13_mEh c14_mEh c15_mEh c16_mEh c17_mEh c18_mEh
 5.56312600e+00  1.24802923e+01 -3.00471269e+00  2.50587038e+01 -1.39785502e-01  1.13102799e+01  1.69358625e+00  3.26838606e+00  8.23309206e-01  9.44394372e-01  3.17974311e-01  2.70355117e-01  9.04164332e-02  5.04325187e-02  9.50725908e-03  1.08919690e-02  4.10697034e-02 -1.48636794e-02  1.70921385e-01 -2.84901558e-02
 5.61523000e+00  1.11918097e+01 -2.96928169e+00  2.27697794e+01 -3.22492928e-01  1.02550612e+01  1.48405866e+00  2.92709348e+00  7.21757503e-01  8.27329921e-01  2.74361863e-01  2.28486897e-01  7.42232764e-02  3.99225539e-02  2.12253584e-03  4.53490324e-03  3.76621365e-02 -1.14473775e-02  1.49079781e-01 -2.66380628e-02
 5.66733500e+00  1.00190273e+01 -2.91651450e+00  2.06738686e+01 -4.73225525e-01  9.29434156e+00  1.29797749e+00  2.62287788e+00  6.33563207e-01  7.23478152e-01  2.37290357e-01  1.93432272e-01  6.06731514e-02  3.25009450e-02 -2.93955735e-03  7.76412383e-05  3.49530235e-02 -9.07787214e-03  1.29679794e-01 -2.60514639e-02
 5.71943900e+00  8.95242653e+00 -2.84966960e+00  1.87557650e+01 -5.96214703e-01  8.41962952e+00  1.13230066e+00  2.35105855e+00  5.56747042e-01  6.31345385e-01  2.05793084e-01  1.64028487e-01  4.94112744e-02  2.72781996e-02 -5.89099853e-03 -2.58731838e-03  3.26923375e-02 -7.25370521e-03  1.12468480e-01 -2.60090336e-02
 5.77154300e+00  7.98311825e+00 -2.77158713e+00  1.70012681e+01 -6.95204979e-01  7.62321649e+00  9.84567891e-01  2.10757106e+00  4.89636362e-01  5.49745321e-01  1.79036137e-01  1.39326537e-01  4.01377300e-02  2.35615527e-02 -7.04088724e-03 -3.69582073e-03  3.06911680e-02 -5.60068118e-03  9.71930726e-02 -2.59646677e-02
 5.82364700e+00  7.10290752e+00 -2.68473631e+00  1.53972849e+01 -7.73491835e-01  6.89817025e+00  8.52784512e-01  1.88895670e+00  4.30828152e-01  4.77700157e-01  1.56304214e-01  1.18553330e-01  3.25897950e-02  2.08344849e-02 -6.75194286e-03 -3.56103880e-03  2.88159195e-02 -3.87576923e-03  8.36289379e-02 -2.55520288e-02
 5.87575200e+00  6.30422118e+00 -2.59125157e+00  1.39316876e+01 -8.33972848e-01  6.23821744e+00  7.35299726e-01  1.69228743e+00  3.79146898e-01  4.14355626e-01  1.36983499e-01  1.01071869e-01  2.65286765e-02  1.87272985e-02 -5.40125035e-03 -2.52544718e-03  2.69798857e-02 -1.95271497e-03  7.15857444e-02 -2.45667291e-02
 5.92785600e+00  5.58013016e+00 -2.49297449e+00  1.25933522e+01 -8.79185882e-01  5.63771236e+00  6.30721644e-01  1.51510354e+00  3.33613301e-01  3.58930249e-01  1.20548377e-01  8.63503500e-02  2.17326547e-02  1.69864106e-02 -3.34912395e-03 -9.21874252e-04  2.51345436e-02  2.01654426e-04  6.09053905e-02 -2.29369025e-02
 5.97996000e+00  4.92421935e+00 -2.39147432e+00  1.13719225e+01 -9.11353991e-01  5.09149042e+00  5.37833274e-01  1.35531429e+00  2.93407212e-01  3.10675752e-01  1.06546208e-01  7.39362412e-02  1.79935596e-02  1.54457135e-02 -9.17127349e-04  9.54034636e-04  2.32608796e-02  2.55446175e-03  5.14541656e-02 -2.06896303e-02
 6.03206400e+00  4.33061190e+00 -2.28808401e+00  1.02578631e+01 -9.32414750e-01  4.59485973e+00  4.55551909e-01  1.21114340e+00  2.57844268e-01  2.68867760e-01  9.45878607e-02  6.34415057e-02  1.51174314e-02  1.40028024e-02  1.62470936e-03  2.85968881e-03  2.13618202e-02  5.03196737e-03  4.31171000e-02 -1.79187469e-02
