R(Angstrom),theta;0;10;20;30;40;50;60;70;80;90;100;110;120;130;140;150;160;170;180
3.65;205.17;179.77;121.03;49.62;-19.44;-71.25;-100.14;-112.79;-116.92;-117.92;-118.29;-115.07;-95.9;-32.6;120.89;413.89;844.16;1277.42;1470
3.7;129.84;109.7;63.5;6.85;-48.02;-88.04;-109.26;-117.81;-119.88;-120.31;-121.37;-120.79;-108.61;-61.61;58.14;291.73;637.63;986.88;1140
3.75;69.72;54.02;18;-26.67;-69.84;-100.11;-115.1;-120.35;-120.81;-120.81;-122.41;-123.9;-117.33;-83.62;8.36;192.83;468.94;748.84;872
3.8;22.21;10.19;-17.61;-52.58;-86.12;-108.37;-118.33;-120.94;-120.14;-119.82;-121.83;-124.93;-122.82;-99.87;-30.64;113.37;331.93;554.72;653
3.85;-14.9;-23.91;-45.13;-72.24;-97.86;-113.57;-119.5;-120;-118.23;-117.69;-120;-124.32;-125.71;-111.44;-60.74;50.07;221.36;397.28;475
3.9;-43.5;-50.19;-66.05;-86.79;-105.93;-116.32;-119.05;-117.88;-115.39;-114.69;-117.21;-122.45;-126.54;-119.19;-83.51;0.18;132.8;270.38;331
3.95;-65.16;-69.92;-81.59;-97.17;-111.01;-117.11;-117.34;-114.88;-111.86;-111.05;-113.72;-119.61;-125.76;-123.88;-100.26;-38.63;62.49;168.81;216
4;-81.2;-84.43;-92.74;-104.17;-113.69;-116.38;-114.67;-111.22;-107.83;-106.95;-109.71;-116.05;-123.72;-126.11;-112.13;-68.32;7.24;88.21;125
4.05;-92.69;-94.72;-100.36;-108.43;-114.45;-114.47;-111.3;-107.1;-103.47;-102.56;-105.35;-111.96;-120.73;-126.4;-120.04;-90.55;-35.61;24.88;52.3
4.1;-100.51;-101.61;-105.13;-110.49;-113.7;-111.65;-107.41;-102.68;-98.9;-97.97;-100.77;-107.52;-117.03;-125.18;-124.78;-106.7;-68.3;-24.27;-4.04
4.15;-105.38;-105.77;-107.62;-110.81;-111.76;-108.17;-103.16;-98.07;-94.24;-93.31;-96.07;-102.86;-112.83;-122.79;-126.99;-117.92;-92.71;-61.84;-47.4
4.2;-107.91;-107.76;-108.32;-109.77;-108.92;-104.22;-98.69;-93.38;-89.54;-88.63;-91.34;-98.08;-108.29;-119.53;-127.21;-125.17;-110.39;-89.97;-80.1
4.25;-108.58;-108.04;-107.61;-107.67;-105.43;-99.95;-94.1;-88.69;-84.89;-84;-86.64;-93.26;-103.53;-115.62;-125.89;-129.27;-122.64;-110.47;-104
4.3;-107.81;-107;-105.83;-104.78;-101.47;-95.49;-89.47;-84.05;-80.33;-79.46;-82.02;-88.47;-98.67;-111.27;-123.38;-130.87;-130.56;-124.81;-121
4.35;-105.93;-104.95;-103.23;-101.31;-97.2;-90.95;-84.86;-79.5;-75.89;-75.05;-77.52;-83.76;-93.78;-106.62;-120;-130.51;-135.02;-134.24;-133
4.4;-103.22;-102.14;-100.02;-97.43;-92.77;-86.4;-80.34;-75.08;-71.6;-70.8;-73.16;-79.17;-88.93;-101.8;-115.98;-128.66;-136.76;-139.76;-140
4.45;-99.91;-98.78;-96.39;-93.29;-88.27;-81.9;-75.92;-70.81;-67.48;-66.71;-68.97;-74.73;-84.18;-96.9;-111.51;-125.67;-136.39;-142.2;-144
4.5;-96.31;-95.05;-92.48;-89;-83.78;-77.5;-71.65;-66.72;-63.53;-62.81;-64.96;-70.46;-79.54;-92;-106.75;-121.85;-134.41;-142.26;-145
4.6;-88.16;-86.96;-84.21;-80.33;-75.04;-69.1;-63.62;-59.09;-56.22;-55.57;-57.51;-62.46;-70.76;-82.43;-96.86;-112.62;-127.12;-137.34;-141
4.7;-79.74;-78.63;-75.88;-71.92;-66.85;-61.36;-56.32;-52.22;-49.66;-49.08;-50.82;-55.24;-62.72;-73.41;-86.99;-102.4;-117.28;-128.31;-132
